,author,count
780,"Janin, Jules Gabriel",2
781,"Ribot, Th. (Théodule)",2
782,"Gilchrist, Murray",2
783,"MacGowan, Alice",2
784,"Proctor, Richard A. (Richard Anthony)",2
785,"Paternoster, G. Sidney",2
786,"Upward, Allen",2
787,"Hapgood, Hutchins",2
788,"Hall, Eliza Calvert",2
789,"Chase, Mary Ellen",2
790,"Nathan, George Jean",2
791,"Crow, Martha Foote",2
792,"Sharkey, Jack",2
793,"Barine, Arvède",2
794,"Wood-Allen, Mary",2
795,"Kelly, Florence Finch",2
796,"Rovetta, Gerolamo",2
797,"Fielding, H. (Harold)",2
798,"Forel, Auguste",2
799,"Doctorow, Cory",2
800,"Vaughan, Herbert M. (Herbert Millingchamp)",2
801,"Ostrander, Isabel",2
802,"Otis, James",2
803,"Ayres, Ruby M. (Ruby Mildred)",2
804,"Palacio Valdés, Armando",2
